Number,Date,Time,Battery Voltage,Lens Temp,CCD Temp,Battery Temp,Elapsed Time
1,2017-24-06,02:03:51,3939,33,40,35,0:0:20
2,2017-24-06,02:04:11,3934,33,40,35,0:0:40
3,2017-24-06,02:04:31,3934,33,40,35,0:1:0
4,2017-24-06,02:04:51,3929,33,40,35,0:1:20
5,2017-24-06,02:05:11,3929,33,40,36,0:1:40
6,2017-24-06,02:05:31,3934,33,41,36,0:2:0
7,2017-24-06,02:05:51,3924,33,41,36,0:2:20
8,2017-24-06,02:06:11,3924,33,41,36,0:2:40
9,2017-24-06,02:06:31,3924,33,41,36,0:3:0
10,2017-24-06,02:06:51,3924,33,41,36,0:3:20
11,2017-24-06,02:07:11,3924,33,41,36,0:3:40
12,2017-24-06,02:07:31,3915,33,41,36,0:4:0
13,2017-24-06,02:07:51,3876,34,41,37,0:4:20
14,2017-24-06,02:08:11,3915,34,42,37,0:4:40
15,2017-24-06,02:08:31,3919,34,42,37,0:5:0
16,2017-24-06,02:08:51,3919,34,42,37,0:5:20
17,2017-24-06,02:09:11,3905,34,42,37,0:5:40
18,2017-24-06,02:09:31,3905,34,42,37,0:6:0
19,2017-24-06,02:09:51,3905,34,42,37,0:6:20
20,2017-24-06,02:10:11,3905,34,42,37,0:6:40
21,2017-24-06,02:10:31,3900,34,42,37,0:7:0
22,2017-24-06,02:10:51,3905,34,42,37,0:7:20
23,2017-24-06,02:11:11,3900,34,42,37,0:7:40
24,2017-24-06,02:11:31,3895,34,42,37,0:8:0
25,2017-24-06,02:11:51,3895,34,42,37,0:8:20
26,2017-24-06,02:12:11,3895,34,43,37,0:8:40
